ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Hospital Funding Type/Non-Profit Status,CHNA_Year,Service_Area_Type,Service_Area_Zip,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6742402,CHI St. Joseph Health Madison Hospital,100 West Cross Street,Madisonville,77864-2432,TX,CommonSpirit Health,Non-Profit,2019,List of Counties,"Brazos, Burleson, Grimes, Lee, Leon, Madison, Milam, Robertson, Washington",N/A,N/A,"Transportation, Access in rural communities, Financial stability, Lack of recreational activities, Risk factors, Access to health-related care,  Communication and coordination","Transportation, Access in rural communities, Financial stability, Lack of recreational activities, Risk factors, Access to health-related care, Communication and coordination",https://stjoseph.stlukeshealth.org/content/dam/stjoseph-stlukeshealth/pdfs/uploads/final-chi-sj-implementation-strategy-2019-2022-final.pdf,https://stjoseph.stlukeshealth.org/content/dam/stjoseph-stlukeshealth/pdfs/uploads/final-chi-sj-implementation-strategy-2019-2022-final.pdf,HealthyCommunities@stjoseph.org.
6740500,CHI St. Joseph Regional Health Center,2801 Franciscan Drive,Bryan,77802-2599,TX,CommonSpirit Health,Non-Profit,2022,List of Counties,"Brazos, Burleson, Grimes, Lee, Leon, Madison, Milam, Robertson, Washington",N/A,N/A,"Transportation, Access in rural communities, Financial stability, Lack of recreational activities, Risk factors, Access to health-related care, Communication and coordination, Disaster preparedness","Transportation, Access in rural communities, Financial stability, Lack of recreational activities, Risk factors, Access to health-related care, Communication and coordination, Disaster preparedness",https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/CHNA-2022-BV-Regional-Assessment-Report-FINAL.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20St.%20Joseph%20-%20Brazos%20Valley.pdf,cbreporting@commonspirit.org
6740151,Medical City Las Colinas,6800 North MacArthur Boulevard,Irving,75039-2422,TX,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6740985,Medical City Green Oaks Hospital,7808 Clodus Fields Drive,Dallas,75251-2206,TX,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6742315,CHI St. Luke's Health Memorial Livingston,1717 Highway 59 Bypass,Livingston,77351-1257,TX,CommonSpirit Health,Non-Profit,2022,Combination,"San Jacinto, Polk","77331, 77335, 77350, 77351, 77360, 77371","Coldspring, Goodrich, Leggett, Livingston, Onalaska, Shepherd"," Access to health care; Birth indicators (teen births, prenatal care, pre-term birth, infant mortality); Chronic diseases (cancer, diabetes, heart disease, hypertension, liver disease, lung disease, stroke); COVID-19, Economic insecurity; Food insecurity;  Homelessness; Mental health; Overweight and obesity; Preventive practices (vaccines, screenings); Substance use; Unintentional injury (accidents, falls)","Chronic disease, mental health, and access to health care",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20Memorial%20Livingston.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20Memorial%20Livingston.pdf,N/A
6742395,CHI St. Luke's Health Memorial Lufkin,1201 West Frank Avenue,Lufkin,75904-3357,TX,CommonSpirit Health,Non-Profit,2022,Combination,"Angelina, Polk","75939, 75941, 75949, 75901, 75904 , 75969, 75980 ","Corrigan, Diboll, Huntington, Lufkin, Pollok, Zavalla","Access to health care; Birth indicators (teen births, prenatal care, pre-term birth, infant mortality); Chronic diseases (cancer, diabetes, heart disease, hypertension, liver disease, lung disease, stroke); COVID-19; Economic insecurity; Food insecurity; Homelessness; Mental health; Overweight and obesity; Preventive practices (vaccines, screenings); Substance use; Unintentional injury (accidents, falls)","Chronic Disease, Mental Health, Access to Health Care",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20Memorial%20Lufkin.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20Memorial%20Lufkin.pdf,"Curtis Prunty, cbeasttexas@gmail.com."
6743145,CHI St. Luke's Health Memorial San Augustine,511 East Hospital Street,San Augustine,75972-2121,TX,CommonSpirit Health,Non-Profit,2022,Combination,"San Augustine, Sabine, Shelby","75929, 75930, 75935, 75948, 75972","Broaddus, Bronson, Center, Hemphill, San Augustine ","Access to health care; Birth indicators (teen births, prenatal care, pre-term birth, infant mortality); Chronic diseases (cancer, diabetes, heart disease, hypertension, liver disease, lung disease, stroke); COVID-19; Economic insecurity; Food insecurity; Homelessness; Mental health; Overweight and obesity; Preventive practices (vaccines, screenings); Substance use; Unintentional injury (accidents, falls)","Chronic Disease, Mental Health,  Access to Care",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20Memorial%20San%20Augustine.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20Memorial%20San%20Augustine.pdf,"Curtis Prunty, cbeasttexas@gmail.com."
6740543,CHI St. Luke's Health-Lakeside Hospital,17400 St. Luke's Way,The Woodlands,77384-8036,TX,CommonSpirit Health,Non-Profit,2022,Combination,"San Jacinto, Montgomery, Liberty, Harris","77328, 77301, 77302, 77303, 77304, 77306, 77384, 77385, 77073, 77354, 77316, 77373, 77379, 77386, 77388, 77389, 77380, 77381, 77382, 77375, 77318, 77378 ","Cleveland, Conroe, Houston, Magnolia, Montgomery, Spring, The Woodlands, Tomball, Willis","Access to health care; Birth indicators; Chronic diseases (asthma, cancer, heart disease, lung disease, Parkinson's disease); COVID-19; Homelessness; Mental health; Overweight and obesity; Preventive practices (vaccines, screenings); Substance use; Unintentional injury (accidents, falls)","Access to health care, mental health, birth indicators, chronic disease, overweight and obesity",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20Lakeside.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20Lakeside.pdf,"Fawn Preuss, Fawn.Preuss@commonspirit.org."
6740248,CHI St. Luke's Health-The Woodlands Hospital,17200 St. Luke's Way,The Woodlands,77384-8007,TX,CommonSpirit Health,Non-Profit,2022,Combination,"Montgomery, Walker, Harris, Trinity, San Jacinto","77301, 77302, 77303, 77304, 77306, 77384, 77385, 77320, 77354, 77316, 77356, 77373, 77379, 77386, 77388, 77389, 77380, 77381, 77382, 77375, 75862, 77318, 77378","Conroe, Huntsville,  Magnolia, Montgomery, Spring, The Woodlands, Tomball, Trinity, Willis","Access to care; Birth indicators; Chronic diseases(asthma, cancer, heart disease, lung disease, Parkinson's disease); COVID-19; Homelessness; Mental health; Overweight and obesity; Preventative practices (vaccines, screenings); Substance use, Unintentional injury (accidents, falls)","Access to health care, mental health, birth indicators, chronic disease, and overweight and obesity",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20The%20Woodlands%20and%20Springwoods.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20Springwoods.pdf,"Fawn Preuss, Fawn.Preuss@commonspirit.org."
6740655,CHI St. Luke's Hospital - The Vintage Hospital,20171 Chasewood Park Drive,Houston,77070-1437,TX,CommonSpirit Health,Non-Profit,2022,Combination,"Harris, Montgomery, Waller","77429, 77433, 77355, 77447,  77014, 77038, 77060, 77064, 77065, 77066, 77067, 77068, 77069, 77070, 77073, 77084, 77086, 77088, 77090, 77091, 77095, 77040, 77354, 77362, 77373, 77379, 77375, 77377","Cypress, Decker Prairie, Hockley, Houston, Jersey Village, Magnolia, Pinehurst, Spring, Tomball","Access to Care, Birth Indicators, Chronic Diseases, Covid-19, Homelessness, Mental Health, Overweight and Obesity, Preventive Practices, Sexually Transmitted Infections, Substance Use, Violence and Injury","Access to care, mental health, birth indicators, chronic disease, overweight and obesity",https://www.stlukeshealth.org/content/dam/stlukeshealth/documents/2022%20CHNA%20Vintage.pdf,https://www.stlukeshealth.org/content/dam/stlukeshealth/pdfs/2022%20Implementation%20Strategy%20The%20Vintage.pdf,"Stephen Ferguson, stephen.ferguson@commonspirit.org"
6740935,Children's Medical Center Dallas,1935 Medical District Drive,Dallas,75235-7701,TX,Children's Health,Non-Profit,2022,List of Counties,"Dallas, Collin, Cooke, Denton, Fannin, Grayson",N/A,N/A,"Health (Mental and Behavioral Health among children, insurance coverage, access to pediatric care, childhood obesity); Economic Security (Children living in poverty, childcare); Safety (Foster care, Child abuse and neglect); Education (Reading proficiency, college readiness, kindergarten readiness)","Health, Economic Security, Safety, Education",https://www.childrens.com/wps/wcm/connect/childrenspublic/08d25d65-04c0-46b4-8d11-d5040d43348c/2022-Childrens-Health-CHNA-Report-Final.pdf?MOD=AJPERES&CVID=omnbsUP,https://www.childrens.com/wps/wcm/connect/childrenspublic/08d25d65-04c0-46b4-8d11-d5040d43348c/2022-Childrens-Health-CHNA-Report-Final.pdf?MOD=AJPERES&CVID=omnbsUP,N/A
6741037,Children's Medical Center Plano,7601 Preston Road,Plano,75024-3214,TX,Children's Health,Non-Profit,2022,List of Counties,"Dallas, Collin, Cooke, Denton, Fannin, Grayson",N/A,N/A,"Health (Mental and Behavioral Health among children, insurance coverage, access to pediatric care, childhood obesity); Economic Security (Children living in poverty, childcare); Safety (Foster care, Child abuse and neglect); Education (Reading proficiency, college readiness, kindergarten readiness)","Health, Economic Security, Safety, Education",https://www.childrens.com/wps/wcm/connect/childrenspublic/08d25d65-04c0-46b4-8d11-d5040d43348c/2022-Childrens-Health-CHNA-Report-Final.pdf?MOD=AJPERES&CVID=omnbsUP,https://www.childrens.com/wps/wcm/connect/childrenspublic/08d25d65-04c0-46b4-8d11-d5040d43348c/2022-Childrens-Health-CHNA-Report-Final.pdf?MOD=AJPERES&CVID=omnbsUP,N/A
6740595,Childress Regional Medical Center,Highway 83 North,Childress,79201-5800,TX,,Unable to Find,N/A unable to find,,,,,,,,,
6740597,Chillicothe Hospital District,303 Avenue 'I',Chillicothe,79225,TX,,Unable to Find,N/A unable to find,,,,,,,,,
6740198,CHRISTUS Dubuis Hospital of Beaumont,"2830 Calder Avenue, 4th Floor",Beaumont,77702-1809,TX,Christus Health System/ LHC group.,Non-Profit,2023,Combination,"Hardin, Jasper, Jefferson, Orange","77625, 77656, 77657, 75951, 75956, 77612, 77619, 77627, 77640, 77642, 77701, 77702, 77703, 77705, 77706, 77707, 77708, 77713, 77630, 77632, 77662",N/A,"Advance Health and Wellbeing: Speciality care and conditions (Diabetes, Heart Disease, Obesity) and Behavioral Health (Mental Health, Substance Abuse); Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping","Advance Health and Wellbeing: Speciality care and conditions (Diabetes, Heart Disease, Obesity) and Behavioral Health (Mental Health, Substance Abuse); Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chip_nav.ashx,N/A
6740230,CHRISTUS Dubuis Hospital of Paris,"820 Clarksville Street, 6th Floor",Paris,75460-6027,TX,LHC Group,Non-Profit,N/A unable to find,,,,,,,,,
6742430,CHRISTUS Good Shepherd Medical Center-Marshall,811 South Washington Avenue,Marshall,75670-5336,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Gregg, Harrison, Marion, Panola, Rusk, Upshur","75670, 75672, 75657, 75692, 75661",N/A,"Advance Health and Wellbeing: Speciality Care Access and Chronic Disease Management (Diabestes, Obesity, Heart Disease), Primary Caree Access, Behavioral Health (Mental Health, Substance Abuse), Education; Build Resilient Communities & Improve Social Determinants: Food Access,Reducing Smoking and  Vaping","Advance Health and Wellbeing: Speciality Care Access and Chronic Disease Management (Diabestes, Obesity, Heart Disease), Primary Caree Access, Behavioral Health (Mental Health, Substance Abuse), Education; Build Resilient Communities & Improve Social Determinants: Food Access,Reducing Smoking and  Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/good-shepherd-marshall/gshs_marshall_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chip_nav.ashx,N/A
6740219,CHRISTUS Mother Frances Hospital - Jacksonville,2026 South Jackson,Jacksonville,75766-5822,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Cherokee, Delta, Franklin, Hopkins, Rains, Smith, Wood","75763, 75801, 75803, 75757, 75766, 75785, 75432, 75457, 75751, 75420, 75440, 75654, 75701, 75103, 75494, 75783",N/A,"Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping","Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-jacksonville/tmf_jacksonville_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-jacksonville/tmfhs_jacksonville_chip_2023.ashx,N/A
6743345,CHRISTUS Mother Frances Hospital - Sulphur Springs,115 Airport Road,Sulphur Springs,75482-2105,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Anderson, Cherokee, Delta, Franklin, Henderson, Hoopkins, Rains, Rusk, Smith, Van Zandt, Wood","75763, 75801, 75803, 75757, 75766, 75785, 75432, 75457, 75751, 75758, 75420, 75431, 75433, 75437, 75482, 75440, 75654, 75701, 75762, 75771, 75791, 75103, 75140, 75754, 75494, 75497, 75765, 75773, 75783",N/A,"Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping","Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-sulphur-springs/tmf_sulphursprings_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-sulphur-springs/tmfhs_sulphursprings_chip_2023.ashx,N/A
6743570,CHRISTUS Mother Frances Hospital - Tyler,800 East Dawson Street,Tyler,75701-2036,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Anderson, Cherokee, Delta, Franklin, Henderson, Hoopkins, Rains, Rusk, Smith, Van Zandt, Wood","75763, 75801, 75803, 75757, 75766, 75785, 75432, 75457, 75751, 75758, 75420, 75431, 75433, 75437, 75482, 75440, 75654, 75701, 75702, 75703, 75704, 75706, 75707, 75708, 75709, 75762, 75771, 75789, 75791, 75103, 75140, 75754, 75790, 75494, 75497, 75765, 75773, 75783",N/A,"Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping","Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-tyler/tmf_tyler_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-tyler/tmfhs_tyler_chip_2023.ashx,N/A
6749550,CHRISTUS Mother Frances Hospital - Winnsboro,719 West Coke Road,Winnsboro,75494-3011,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Anderson, Cherokee, Delta, Franklin, Henderson, Hoopkins, Rains, Rusk, Smith, Van Zandt, Wood","75763, 75801, 75803, 75757, 75766, 75785, 75432, 75457, 75751, 75758, 75420, 75431, 75433, 75437, 75482, 75440, 75654, 75701, 75702, 75703, 75704, 75706, 75707, 75708, 75709, 75762, 75771, 75789, 75791, 75103, 75140, 75754, 75790, 75494, 75497, 75765, 75773, 75783",N/A,"Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping","Advance health and wellbeing: Specialty care and chronic disease management (Cancer, Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse), Primary Care, Education; Build Resilient Communities and improve Social Determinants: Improving food access, Reducing smoking and vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-winnsboro/tmf_winnsboro_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/trinity-mother-frances-tyler/tmfhs_tyler_chip_2023.ashx,N/A
6743120,CHRISTUS Santa Rosa Health System,333 North Santa Rosa Street,San Antonio,78207-3108,TX,CHRISTUS Health,Non-Profit,2023,Combination,Bexar," 78202,78203, 78205, 78208, 78210, 78215, 78218, 78219, 78220, 78109,78148, 78152, 78154, 78233  78239, 78244, 78101, 78112, 78214, 78222, 78223, 78263,  78002, 78069, 78073 , 78211, 78221,78224, 78225, 78226, 78236, 78242,  78245, 78252, 78264, 78201, 78204, 78207, 78227, 78228, 78229, 78237, 78238, 78240, 78006,  78023, 78249, 78250, 78251,78253, 78254, 78255,  78256, 78209, 78212, 78213, 78216, 78217, 78230, 78015, 78231, 78232, 78247, 78248, 78257, 78258, 78259, 78260, 78261, 78266",N/A,"Healthy child and family development, housing, mental and emotional health","Healthy child and family development, housing, mental and emotional health",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/santa-rosa-san-antonio/srhs_sanantonio_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/santa-rosa-san-antonio/srhs_sanantonio_chip_2023.ashx,N/A
6740258,CHRISTUS Southeast Texas Hospital - St. Elizabeth,2830 Calder Avenue,Beaumont,77702-1809,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Hardin, Jasper, Jefferson, Orange","77625, 77656, 77657, 75951, 75956, 77612, 77619, 77627, 77640, 77642, 77701, 77702, 77703, 77705, 77706, 77707, 77708, 77713, 77630, 77632, 77662",N/A,"Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping","Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chip_nav.ashx,N/A
6742084,CHRISTUS Southeast Texas Jasper Memorial,1275 Marvin Hancock Drive,Jasper,75951-4995,TX,CHRISTUS Health,Non-Profit,2020,Combination,"Hardin, Jasper, Jefferson, Newton, Orange, Tyler","77625, 77656, 77657, 75951, 75956, 77612, 77619, 77627, 77640, 77642, 77701, 77702, 77703, 77705, 77706, 77707, 77708, 77713, 77630, 77632, 77662",N/A,"Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping","Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/implementation-plan-and-needs-assessment/2020_2022v1setxbeaumontimplementationplan.ashx,N/A
6740322,CHRISTUS Southeast Texas Orthopedic Specialty Center,3650 Laurel Street,Beaumont,77707-2216,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Hardin, Jasper, Jefferson, Orange","77625,77656,77657, 75951, 75956,77612, 77619, 77627, 77640, 77642,77701, 77702, 77703, 77705,77706, 77707,77708, 77713, 77630, 77632, 77662",N/A,"Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping","Advance Health and Wellbeing: Specialty Care and Chronic Diseases (Diabetes, Heart Disease, Obesity), Behavioral Health (Mental Health, Substance Abuse; Build Resilient Communities and Improve Social Determinants: Improving Food Access, Increasing Physical Activity, Reducing Smoking and Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chip_nav.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/setx/setx_chip_nav.ashx,N/A
6740040,CHRISTUS Spohn Hospital Alice,2500 East Main Street,Alice,78332-4169,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Aransas, Kleberg, Bee, Nueces, Brooks, San Patricio, Jim Wells","78382, 78102, 78355, 78332, 78363, 78380, 78401, 78404, 78405, 78408, 78410, 78411, 78412, 78413, 78414, 78415, 78416, 78418, 78374, 78368",N/A,"Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity); Behavioral Health (Mental Health, Substance Abuse); Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment; Increasing Access to Housing"," Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity), Behavioral Health (Mental Health, Substance Abuse), Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment, Increasing Access to Housing",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chip_2023.ashx,N/A
6740295,CHRISTUS Spohn Hospital Beeville,1500 East Houston Street,Beeville,78102-5312,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Bee, Goliad, Live Oak, Karnes","78382, 78102, 78355, 78332, 78363, 78380, 78401, 78404, 78405, 78408, 78410, 78411, 78412, 78413, 78414, 78415, 78416, 78418, 78374, 78368",N/A,"Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity); Behavioral Health (Mental Health, Substance Abuse); Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment; Increasing Access to Housing","Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity), Behavioral Health (Mental Health, Substance Abuse), Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment, Increasing Access to Housing",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chip_2023.ashx,N/A
6740089,CHRISTUS Spohn Hospital Corpus Christi Memorial,2606 Hospital Boulevard,Corpus Christi,78405-1804,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Aransas, Kleberg, Bee, Nueces, Brooks, San Patricio, Jim Wells","78382, 78363, 78102, 78380, 78401, 78404, 78405, 78408, 78410, 78411, 78412, 78413, 78414, 78415, 78416, 78418, 78355, 78368, 78374, 78332",N/A,"Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity), Behavioral Health (Mental Health, Substance Abuse), Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment, Increasing Access to Housing","Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity), Behavioral Health (Mental Health, Substance Abuse), Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment, Increasing Access to Housing",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chip_2023.ashx,N/A
6742160,CHRISTUS Spohn Hospital Kleberg,1311 General Cavazos Boulevard,Kingsville,78363-7130,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Kleberg, Brooks, Kenedy, Nueces","78382, 78102, 78355, 78332, 78363, 78380, 78401, 78404, 78405, 78408, 78410, 78411, 78412, 78413, 78414, 78415, 78416, 78418, 78374, 78368",N/A,"Advance Health and Wellbeing: Chronic Illness (Heart Disease, Diabetes, Obesity); Behavioral Health (Mental Health, Substance Abuse); Access to Care; Build Resilient Communities and Improve Social Determinants: Improving Employment; Increasing Access to Housing","Advance Health and Wellbeing (Heart Disease, Diabetes, Obesity); Behavioral Health (Mental Health, Substance Abuse); Access to Care; Build Resilient Communities and Improve Social Determinants (improving employment by building education and training opportunities, Increasing access to housing and wrap-around services)",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/spohn/spohn_chip_2023.ashx,N/A
6740119,CHRISTUS St. Michael Health System,2600 St Michael Drive,Texarkana,75503-5220,TX,CHRISTUS Health,Non-Profit,2023,Combination,"Bowie, Cass, Hempstead (Arkansas), Howard (Arkansas), Little River (Arkansas), Miller (Arkansas), Sevier (Arkansas)","71801, 71852, 71822, 71854, 71837, 71832, 75501, 75503, 75559, 75561, 75567, 75569, 75570, 75551, 75563, 75572",N/A,"Advance Health and Wellbeing: Chronic illness (cancer, heart disease, diabetes, obesity), Behavioral health (mental health, substance abuse), Access to Care; Build Resilient Communities & Improve Social Determinants of Health: Reducing Smoking and Vaping, Improving Employment, Improving Food Access","Advance Health and Wellbeing: Chronic illness (cancer, heart disease, diabetes, obesity), Behavioral health (mental health, substance abuse), Access to Care; Build Resilient Communities & Improve Social Determinants of Health: Reducing Smoking and Vaping, Improving Employment, Improving Food Access",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/st-michael-health-system/smhs_chna_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/st-michael-health-system/smhs_chip_2023.ashx,N/A
